geo,siec,value_2013,value_2024,CAGR,category
PT,"other petroleum products",1.045,0.001,-0.4685,"Fastest Declining"
SI,coal,0.454,0.001,-0.4266,"Fastest Declining"
TR,"other petroleum products",58.584,1.023,-0.3079,"Fastest Declining"
MT,"domestic heating oil",1.027,0.023,-0.292,"Fastest Declining"
EE,coal,5.836,0.238,-0.2524,"Fastest Declining"
PL,"heat pumps",78.532,648.038,0.2115,"Fastest Growing"
LU,"heat pumps",0.725,6.396,0.2189,"Fastest Growing"
CY,"heat pumps",1.481,13.254,0.2205,"Fastest Growing"
BE,"heat pumps",27.969,286.66,0.2356,"Fastest Growing"
NL,"heat pumps",32.675,435.611,0.2655,"Fastest Growing"
